question,options,answer,subject,topic tag,year
"At the United Nations Ocean Conference (UNOC) held in June, 2025 in France, the Food and Agricultural Organization (FAO) of the United Nations demonstrated its leading voice on marine and ocean issues, especially on sustainable fisheries and aquaculture for resilient livelihood and ""Blue Transformation"".

Which of the following combinations about the ""Four Betters"" proposed by FAO for ""Blue Transformation"" is correct ?","A. Better production, better nutrition, better environment and better ocean
B. Better production, better nutrition, better environment and better life
C. Better coral reefs, better nutrition, better environment and better life
D. Better estuaries, better nutrition, better environment and better mangrove vegetation",B,Environment & Ecology,Environment & Ecology -> Ocean Governance & Global Fisheries,2026
"Which of the following statements with reference to Lake Turkana is/are correct ?

1. It is the largest desert lake in the world.
2. The lake is situated in South Sudan along the eastern fringe of the Sahara desert.
3. The lake is listed as a UNESCO World Heritage Site and is also referred to as the 'Jade Sea'.

Select the answer using the code given below :","A. 1 only
B. 1 and 3 only
C. 2 and 3 only
D. 1, 2 and 3",A,Geography,Geography -> World Lakes & African Rift Valley,2026
Which one of the following is the first Plan Vivo certified Reducing Emissions from Deforestation and Forest Degradation (REDD+) project in India ?,"A. Uttarakhand REDD+ project
B. ICFRE-ICIMOD Transboundary REDD+ project in North-Eastern Himalayas
C. Khasi Hills Community REDD+ project
D. Sikkim Mamley Kamrang Community REDD+ project",D,Environment & Ecology,Environment & Ecology -> REDD+ & Carbon Certification,2026
"Which of the following statements with regard to genetic medicine is/are correct ?

1. Genetic medicines correct/compensate for the faulty genes responsible for disease.
2. Engineered viruses and lipid nanoparticles are used as carriers of the genetic medicine.
3. Genetic medicines alter the entire DNA sequence.

Select the answer using the code given below :","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",A,Science & Technology,Science & Technology -> Genetic Medicine & Gene Therapy,2026
"Which of the following statements with regard to Large Language Models (LLMs) used in machine learning is/are correct ?

1. LLMs assign probabilities to the next possible words and then pick the one with the highest probability.
2. LLMs process data through mathematical optimization to minimise prediction errors.
3. LLMs produce unbiased outputs.

Select the answer using the code given below :","A. 1 only
B. 1 and 2 only
C. 2 and 3 only
D. 1, 2 and 3",C,Science & Technology,Science & Technology -> Artificial Intelligence & LLMs,2026
"Which of the following statements with regard to stealth technology is/are correct ?

1. Stealth objects have a very small radar cross-section and are coated with Radar Absorbing Material.
2. Stealth objects can be detected using specific frequencies.
3. Stealth objects are coated with metamaterials to increase the scattering of electromagnetic radiation.

Select the answer using the code given below :","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",B,Science & Technology,Science & Technology -> Stealth Technology & Radar Cross-Section,2026
"Which of the following statements with regard to Black Boxes used in modern aircrafts is/are correct ?

1. They carry a beacon emitting red light pulses to facilitate underwater detection.
2. They record both the cockpit voice and flight data.
3. Their memory units are made using either stainless steel or titanium.

Select the answer using the code given below :","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",A,Science & Technology,Science & Technology -> Aviation Technology & Flight Recorders,2026
"Which of the following statements with regard to Green Hydrogen is/are correct ?

1. It is decarbonized hydrogen obtained from natural gas reforming combined with carbon capture and storage (CCS).
2. It is produced using electrolysis of water with electricity generated by renewable energy.
3. National Green Hydrogen Mission of India aims for abatement of nearly 50 MMT of annual greenhouse gas emissions by 2030.

Select the answer using the code given below :","A. 1 only
B. 2 and 3 only
C. 2 only
D. 1, 2 and 3",C,Environment & Ecology,Environment & Ecology -> Renewable Energy & Green Hydrogen,2026
"Consider the following statements with regard to involvement of private entities in India's space programme :

1. The Indian National Space Promotion and Authorisation Centre (IN-SPACe) is an autonomous agency formed to facilitate participation of private entities.
2. Agnikul Cosmos launched the world's first flight using 3D-printed rocket engine.
3. Skyroot Aerospace has developed liquid fuel for GSLV.

Which of the statements given above is/are correct ?","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",A,Science & Technology,Science & Technology -> Space Sector Reforms & IN-SPACe,2026
"Which of the following statements with regard to drone swarms is/are correct ?

1. They use Terahertz band of frequency to communicate with the command centre.
2. Individual drones in the swarm can communicate with other drones in the swarm.
3. GPS Spoofing is a commonly used technique to counter drone swarm attack.

Select the answer using the code given below :","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",B,Science & Technology,Science & Technology -> Drone Technology & Autonomous Swarms,2026
"Which of the following statements with regard to GenomeIndia Project is/are correct ?

1. It is a part of the Human Genome Project.
2. The project is funded by the Department of Biotechnology (DBT), Government of India.
3. Its primary aim is to build a catalogue of genetic diversity of the Indian population.

Select the answer using the code given below :","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",B,Science & Technology,Science & Technology -> Genomics & GenomeIndia Project,2026
"Which of the following statements with regard to the National Quantum Mission (NQM) is/are correct?

1. It aims at developing intermediate-scale quantum computers with 50-1000 physical qubits.
2. Its implementation includes setting up of four Thematic Hubs (T-Hubs) in academic and national R&D institutes across India.

Select the answer using the code given below:","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,Science & Technology,Science & Technology -> National Quantum Mission,2026
"Which of the following statements with regard to India's Deep Ocean Mission is/are correct?

1. It was launched by the Ministry of Ports, Shipping and Waterways, Government of India.
2. Matsya-6000 has been designed to carry 3 people for deep sea exploration.
3. Samudrayaan is a project under this mission.

Select the answer using the code given below:","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",B,Science & Technology,Science & Technology -> Deep Ocean Mission & Submersibles,2026
"Mr. X, a senior officer, was overseeing a critical vaccination programme during a pandemic. He found that a private service provider responsible for vaccine distribution was compromising on quality to make profits. Despite immense pressure to manage the issue due to vested interests, he raised his voice based on the principles of public administration which he learnt during various training programmes attended across his career. He reported the issue to the appropriate vigilance authority and halted the contract to ensure citizen welfare.

Which one among the following principles of public administration was most strongly demonstrated by Mr. X's actions?","A. Esprit de corps
B. Equity
C. Accountability
D. Delegation",C,Indian Polity,Indian Polity -> Administrative Ethics & Public Service Delivery,2026
"In a multi-ethnic district where both economic competition and historical grievances frequently led to community tensions, a flashpoint has arisen with a Government decision to allocate land for a waste management facility near a tribal hamlet, sparking protests by the tribal community, which claimed that the land was sacred and critical to their cultural identity. At the same time, urban residents and local industries supported the project, citing severe solid waste challenges and health concerns due to lack of a proper disposal site. The conflict has escalated with road blockades, social media campaigns, and allegations of police excesses.

As a responsible Government official, you are tasked with resolving the situation through mediation, ensuring a sustainable outcome that balances environmental needs, tribal rights, and urban public health.

Consider the following statements with reference to the above:

1. A successful conflict resolution process must begin with acknowledging the cultural concerns of the protesting tribal community before discussing technical alternatives.
2. The Government should move ahead with the project without delay to address urban health concerns, which outweigh the sentiments of a small group.
3. Creating a multi-stakeholder dialogue platform - including tribal leaders, environmental experts, and municipal representatives - to build mutual understanding and help de-escalate tensions.
4. Conducting an independent Environmental and Social Impact Assessment (ESIA) and sharing findings transparently with both sides to facilitate evidence-based decision-making.

Which of the statements given above would contribute to the resolution process?","A. 1, 3 and 4 only
B. 2, 3 and 4 only
C. 1 and 2 only
D. 1, 2, 3 and 4",B,Indian Polity,Indian Polity -> Conflict Resolution & District Administration,2026
"Ms. X is a mid-level civil service official working in the urban development department of a major city. Recently, she was involved in approving a contract for a public infrastructure project - a new community park. During the approval process, she received a piece of confidential information indicating that one of the shortlisted contractors had a history of poor workmanship and allegations of corruption in other cities, though nothing had been legally proven. The Head of the Department, Mr. Y, advised her not to disclose this information to the project committee or the public because it could delay the project and damage the city's reputation. However, Ms. X believed that withholding such information compromised transparency and public trust.

What amongst the following should Ms. X do now?

1. Immediately disclose the information to the project committee and the public
2. Recommend removing the contractor from the shortlist to protect the project's integrity
3. Propose a 'limited disclosure' to an oversight committee, while keeping the information confidential from the public for the time being

Select the answer using the code given below:","A. 1 and 2 only
B. 3 only
C. 2 and 3 only
D. 1, 2 and 3",A,Society,Society -> Urban Governance & Civil Service Decision Making,2026
"X' was addressing a seminar on the meaning of the term 'law' as provided under Article 13, Part III of the Constitution of India. 'X' explained that the meaning of the term 'law' in the Constitution of India was very comprehensive. It included ordinances, orders and even rules and regulations. 'Y' pointed out that the term 'law' in Article 13 also included custom or usage having in the territory of India the force of law, to which 'X' was not convinced.

Based on the above, select the correct conclusion from the options given below :","A. 'X' is correct in the interpretation of law, including the view on non-inclusion of custom.
B. The view of 'Y' that 'law' included custom is not correct.
C. The views of both 'X' and 'Y' are correct.
D. The view of only 'Y' is correct.",C,Indian Polity,Indian Polity -> Fundamental Rights & Definition of Law (Article 13),2026
"Consider the following statements with reference to the Constitution of India :

1. There is no Article in the Constitution of India that specifies that the Constitution of India will be officially called the 'Constitution of India'.
2. There is no Article in the Constitution of India that specifies that the Indian Independence Act, 1947 and the Government of India Act, 1935 stand repealed.
3. There is no Article in the Constitution of India that mentions 26th January, 1950 as the date of the commencement of the Constitution of India.

Which one of the following conclusions based on the above statements is correct ?","A. All three statements are correct.
B. There is no correct statement.
C. There are two correct statements that include statement 3.
D. There is only one correct statement.",B,Indian Polity,Indian Polity -> Constitutional Provisions & Commencement,2026
"Which of the following statements with regard to the persons with disabilities in India is/are correct ?

1. The Rights of Persons with Disabilities Act, an Act passed by the Parliament of India in 2018, mandates reservation in education and employment, places a legal duty on Governments to ensure accessibility and non-discrimination.
2. The Sugamya Bharat Abhiyan focuses on achieving universal accessibility for Persons with Disabilities across three key domains - built infrastructure, transport systems and information and communication technology.
3. The National Divyangjan Finance and Development Corporation (NDFDC) is a public sector organisation set up by the Ministry of Corporate Affairs as a not-for-profit company to promote entrepreneurship among Persons with Disabilities (PwDs).

Select the answer using the code given below :","A. 1 and 2
B. 2 only
C. 1 and 3
D. 1 only",B,Society,Society -> Rights of Persons with Disabilities & Legislation,2026
"Consider the following statements about the provisions pertaining to the Scheduled Castes and the Scheduled Tribes in India :

1. Provisions regarding the administration of the Tribal Areas in the States of Assam, Meghalaya, Tripura and Mizoram are given in the Fifth Schedule of the Constitution of India.
2. Some tribes of India are entitled to exemption from paying Income Tax on certain incomes.
3. The Constitution of India provides for reservation of seats in Panchayats for women belonging to the Scheduled Castes and the Scheduled Tribes.

Which one of the following conclusions based on the above statements is correct ?","A. There are two correct statements, that include statement 2.
B. There are two correct statements, that are statements 1 and 3.
C. There is only one correct statement.
D. All three statements are correct.",A,Indian Polity,Indian Polity -> Local Self-Government & SC/ST Reservation,2026
"Consider the following statements in respect of questions asked by the Members in the Parliament of India :

1. Unstarred questions are those to which a Member desires an oral answer in the House.
2. Starred questions are those to which a Member desires a written answer.
3. No supplementary question can be asked on an unstarred question.

Which one of the following conclusions based on the above statements is correct ?","A. All the three statements are correct.
B. There are two correct statements, that include statement 2.
C. There is only one correct statement.
D. There is no correct statement.",C,Indian Polity,Indian Polity -> Parliamentary Procedures & Questions,2026
"Consider the following statements about the Committee on the Welfare of Scheduled Castes and Scheduled Tribes of the Parliament of India:

1. Although members of this Committee are elected from both Houses of Parliament, the Chairperson of this Committee is appointed by the Chairman of the Rajya Sabha.
2. Twenty members are elected by the Rajya Sabha and ten members by the Lok Sabha.
3. No Minister, except for the Union Minister of Social Justice and Empowerment, is eligible to be a member of this Committee.
4. Members are elected for a fixed term of two years from the date they enter their office.

Which one of the following conclusions based on the above statements is correct ?","A. There are four correct statements.
B. There is only one correct statement, that is statement 2.
C. There are two correct statements, that include statement 1.
D. There is no correct statement.",A,Indian Polity,Indian Polity -> Parliamentary Committees & SC/ST Welfare Committee,2026
"Consider the following statements about Mission Sudarshan Chakra of India:

1. It aims to enhance India's air defence, ballistic missile defence and aerial offensive capabilities.
2. This Mission is being designed to enhance rapid, precise, and powerful defence responses, reinforcing India's strategic autonomy.
3. One of the aims of this Mission is to cover all public places of India by an expanded nationwide security shield by 2035.

Which of the statements given above is/are correct?","A. 1, 2 and 3
B. 1 and 2 only
C. 2 and 3 only
D. 1 only",B,Science & Technology,Science & Technology -> Defence Systems & Sudarshan Chakra,2026
"Consider the following statements about river bridges connecting India with neighbouring countries:

1. 'Maitri Setu', built over Feni river, connects Ramgarh in India with Sabroom in Bangladesh.
2. Jhulaghat suspension bridge connects India with Myanmar.
3. Mechi bridge and its approaches connect Panitanki Bypass in India with Kakarvitta in Nepal.

Which of the statements given above is/are correct?","A. 1 and 2
B. 2 and 3
C. 1 only
D. 3 only",D,International Relations,International Relations -> Cross-Border Connectivity & Bridges,2026
